Keyword,Id,CreatedAt,Country,Country_Code,State,RetweetedStatus,UsrFavouriteCount,Text,Lang,UsrName,UsrId,UsrLang,UsrLocation,UsrFollowersCount,UsrFriendsCount,UsrVerified,UsrCreatedAt,UsrDescription,UsrGeoEnabled,UsrStatuesCount,UsrTimeZone,UsrUtcOffset,Retweeted,Retweet_Cont
ZIKA,706518928198148096,Mar 06 2016 16:36:53,United States,US,New Jersey,0,446,'Not sure what you mean Zika negative women had normal fetuses https//tco/0pUFjlVbZR',en,profvrr,14095644,en,NYC,9253,310,False,Mar 07 2008 16:20:35,virus guru Earth's virology professor https//tco/957jAiDWfF host,True,5758,Eastern Time (US & Canada),-18000,False,0
ZIKA,706529536016449536,Mar 06 2016 17:19:02,United States,US,California,0,3591,'In the words of a wise friend of mine where's that Zika virus at??? https//tco/8S1y9Udnor',en,canutokane,148967316,en,,233,284,False,May 28 2010 02:23:47,I firmly believe that any man's finest hour is that moment when he has worked his heart out in a good couase and lies exhausted on the field of battle victori,True,15118,Pacific Time (US & Canada),-28800,False,0
ZIKA,706527371059331072,Mar 06 2016 17:10:26,United States,US,California,0,14,'How Brazilians Use WhatsApp to Connect on Zika https//tco/Vg0iY6n8eN via @frontlinepbs',en,aparna218,62168471,en,Los Angeles California,35,42,False,Aug 02 2009 01:48:14,Obstetrician gynecologist specialist in contraception,True,119,None,None,False,0
ZIKA,706526836122107904,Mar 06 2016 17:08:19,United States,US,Virginia,0,3198,'How a small team of doctors convinced the world to stop ignoring Zika #health #virology https//tco/b24MIeqz66',en,LairmoreDVMDean,343564216,en,Davis California,1910,1875,False,Jul 27 2011 19:19:59,Michael D Lairmore DVM PhD Dean of UC Davis School of Veterinary Medicine Scientist & Institute of Medicine member #veterinary #science #health,True,12570,Pacific Time (US & Canada),-28800,False,0
ZIKA,706530384536731648,Mar 06 2016 17:22:25,United States,US,California,0,660,'Little “scientists“ using dumb approaches for Zika Don’t realize I already have terrific immunotherapy Sad! https//tco/pegdfQuRv0',en,amalec,17743358,en,Oakland CA,1665,222,False,Nov 29 2008 22:38:26,VP Data Platform RelayHealth former Coordinator for the Direct Project S&I Framework for ONC VP Product Management RelayHealth HIT pharma geek,True,5621,Alaska,-32400,False,1
ZIKA,706530355948425219,Mar 06 2016 17:22:18,United States,US,Pennsylvania,0,2872,"'Customs ""how was your visit to the Dominican Republic?"" Me ""I have Zika on my ass""'",en,adamandgeorge,220401389,en,North Polardelphia,359,914,False,Nov 27 2010 17:38:32,I hope my Twitter is #relatable and quirky enough for you ~enjoy~ Honorary member of the Barkley family,True,5714,Eastern Time (US & Canada),-18000,False,0
ZIKA,706549817242157056,Mar 06 2016 18:39:38,United States,US,Pennsylvania,0,405,'@TheRickWilson Zika causes microcephaly It's all a conjecture Hope I did not misspelled anything do not want to be Trumplike',en,Mexduras,246875107,en,Waterbury Connecticut,385,610,False,Feb 03 2011 17:00:52,My opinions are mine only Political Analyst Conservative #TeamMarco,True,8250,None,None,False,0
ZIKA,706547840122646528,Mar 06 2016 18:31:46,United States,US,California,0,823,'Could #Zika's link to #microcephaly be in the neural stem cells? https//tco/QHlzIuKAAT https//tco/aCbCk6NomQ',en,BiomedJ,1036037388,en,Chang Gung University Taiwan,2071,2135,False,Dec 26 2012 01:50:45,Biomedical Journal publishes articles and reviews in all fields of clinical and biomedical sciences Open access free for both readers and authors,True,4159,Pacific Time (US & Canada),-28800,False,0
ZIKA,706554006231867392,Mar 06 2016 18:56:16,United States,US,North Carolina,0,6,"'the ""just say no"" bitch is finally dead republicans are droping like flies caring the zika virus and i could not be happier'",en,SkeenAlexander,3384523695,en,,54,190,False,Jul 20 2015 14:24:58,,True,92,None,None,False,0
ZIKA,706553306538061824,Mar 06 2016 18:53:30,United States,US,California,0,136783,'@talius (cont)Cell death of human neural progenitor cells (hNPCs) red hNPC nuclei white/grey ZIKA virus green https//tco/GJ9Nj41TaV',tl,talius,14518761,en,CA US,10393,10196,False,Apr 24 2008 22:19:37,Med Science & Web dev expert Get TOP TIPS for medicine #organic health #fitness #budgeting discount #coupons cooking #fashion&beauty Join me on fb,True,61274,Pacific Time (US & Canada),-28800,False,0
ZIKA,706565674844319744,Mar 06 2016 19:42:38,United States,US,Missouri,0,327,'@camposmello Hello I'm working on a project about how Brazilian media are covering Zika &amp how that info gets to rural areasCould you DM me?',en,daniela_lavida,1729869228,en,Columbia MO,234,466,False,Sep 04 2013 21:03:16,@MUConvergence| Lover of radio and Latin America @CoMissourian outreach team| @IRE podcast contributor |Formerly @FLIP_org & @WCBURadio,True,448,Eastern Time (US & Canada),-18000,False,0
ZIKA,706591627725242368,Mar 06 2016 21:25:46,United States,US,California,0,1014,'As modified mosquitoes are unleashed on Zika here’s a look back at some other genetically engineered animals https//tco/KhojNpSyrq',en,TakePart,13451802,en,Los Angeles CA,90468,5714,True,Feb 13 2008 23:01:33,We're TakePart a leading source on the issues that shape our lives,True,36771,Pacific Time (US & Canada),-28800,False,2
ZIKA,706598973268762624,Mar 06 2016 21:54:57,United States,US,North Carolina,0,11,'Pregnant women infected with Zika may be at risk for having a fetus with other health issues including problems with the nervous system',en,10661776b,121825148,en,ACC land,635,1434,False,Mar 10 2010 18:20:09,I remember when America was great so I know how far we have fallen,True,7341,Eastern Time (US & Canada),-18000,False,0
ZIKA,706597543497445376,Mar 06 2016 21:49:16,United States,US,Hawaii,0,3067,'@BobBurg I will share more soon! Would love for you to help us spread the word! #wis #catchthewave #savelives #zika #malaria',en,sandycmaui,329528905,en,Maui Hawaii,8204,8438,False,Jul 05 2011 06:59:42,Voice for the Children | Founder of Catch the Wave Save a Life Campaign | Fighting HiddenHunger Malaria Zika DirtyWater | Radio Host @blogtalkradio,True,76306,Hawaii,-36000,False,0
ZIKA,706613777421078529,Mar 06 2016 22:53:47,United States,US,Kansas,0,2642,'@GBS_Lisa_Andrew have you read anything on those of us who survived GBS be more susceptible to get GBS again if we get the Zika virus',en,patty_purinton,1252304768,en,,69,151,False,Mar 08 2013 17:31:08,,True,1329,None,None,False,0
ZIKA,706640378150031360,Mar 07 2016 00:39:29,United States,US,Colorado,0,14,'Two Studies Strengthen Links Between the Zika Virus and Serious Birth Defects https//tco/ru7Q1s0Gec',en,epattcnm,478155091,en,Louisville CO,95,233,False,Jan 29 2012 23:53:23,PhD Nurse Midwife interested in health care payment reform,True,987,None,None,False,0
ZIKA,706660429817208832,Mar 07 2016 01:59:10,United States,US,North Carolina,0,703,'#PuertoRico really does get a raw deal out of its relationship w/ US #Zika / #EconomicStagnation / #Debt',en,DRMspec,2857893113,en,,14,61,False,Nov 02 2014 23:31:01,No news in The Truth No truth in The News,True,1443,None,None,False,0
ZIKA,706664206402244608,Mar 07 2016 02:14:10,United States,US,New York,0,451,'Feb=dry conditions in NE Brazil how drought induced urban water collection impacts #Zika? https//tco/OpI21kcfq2 https//tco/PwkTdmE8qU',en,wxpizza,308258036,en,Brooklyn,733,633,False,May 31 2011 03:02:37,Researcher @climatesociety @Columbia | Advisor @RCClimate | Alum @NASA_DEVELOP @ColumbiaCS | #remotesensing #floods #opendata #vectorborne diseases #pizza,True,10414,Atlantic Time (Canada),-14400,False,0
ZIKA,706680747277438976,Mar 07 2016 03:19:54,United States,US,California,0,9733,'@NewYorker @WIRED this a link about the Zika virus',en,ignatius_jude,3233251747,en,California USA,2078,487,False,Jun 02 2015 05:20:27,#LoveWins #BlackLivesMatter #FeelTheBern,True,2019,None,None,False,0
ZIKA,706694587537088512,Mar 07 2016 04:14:54,United States,US,New York,0,190,'USOC forms medical group to guard against Zika in Rio https//tco/Lgg6I2yp9a via @Reuters',en,wenxiaohan92,915914516,en,Amherst MA,158,2068,False,Oct 31 2012 01:48:37,USOC FLAME Program UMass McCormack Sport Management Dept Senior Interested in International Sport Promotion and Development LinkedIn https//tco/1hDbebTqjo,True,139,Eastern Time (US & Canada),-18000,False,0
ZIKA,706705667009044480,Mar 07 2016 04:58:55,United States,US,New Jersey,0,259,'Early #FDA approval sought for Zika virus blood tests https//tco/cNI0r6YcvN',en,NetZealousLLC,2341530132,en,Fremont CA,279,214,False,Feb 13 2014 06:56:21,#NetZealous offers a number of highly flexible (webinars) & seminars that are relevant to industry trends https//tco/BKoJj2ZVsf https//tco/kJAGTDNu2r,True,500,None,None,False,0
ZIKA,706716899346743296,Mar 07 2016 05:43:33,United States,US,Utah,0,3591,'All these prom tweets are stressing me out so much it has given me the Zika virus Life is hard Especially when you got Zika 🙃😶🤒🤕',en,hanskurzius,2189147316,en,West pointUT,700,560,False,Nov 11 2013 22:49:52,smile do a pushup sing a song make a joke eat some food❤️ follow me on snap hans_solo16 insta hans_solo_ut Barista @starbucks,True,832,None,None,False,0
ZIKA,706789062842163200,Mar 07 2016 10:30:18,United States,US,Washington,0,3973,'Google y @unicef_es juntos para luchar contra el #Zika https//tco/TY59FTsRyz #DemandSolutions #salud https//tco/IVwcrl990F',es,BID_Idear,344726222,es,Washington DC,92919,985,False,Jul 29 2011 14:03:52,Un ecosistema para inspirar innovación creatividad y emprendimiento #DemandSolutions,True,18037,Eastern Time (US & Canada),-18000,False,2
ZIKA,706806181331734528,Mar 07 2016 11:38:20,United States,US,Texas,0,22183,'@Maxinflation @Mozziebites Texas ramps up efforts against Zika virus https//tco/luO4JdceHp *&lt{] D',en,gwendolbowling,106026948,en,iPhone 3292851797216814,394,981,False,Jan 18 2010 07:41:45,,True,36991,Central Time (US & Canada),-21600,False,0
ZIKA,706805804414861312,Mar 07 2016 11:36:50,United States,US,Texas,0,22183,'Texas ramps up efforts against Zika virus https//tco/luO4JdceHp',en,gwendolbowling,106026948,en,iPhone 3292851797216814,394,981,False,Jan 18 2010 07:41:45,,True,36991,Central Time (US & Canada),-21600,False,0
ZIKA,706802462389346304,Mar 07 2016 11:23:33,United States,US,New Jersey,0,5398,'I think I have slight zika 🤒',en,ondabwrightside,253287607,en,,467,397,False,Feb 16 2011 23:07:12,ΓΦΒ ❤️ | i'm wright and you're wrong,True,14192,Central Time (US & Canada),-21600,False,0
ZIKA,706826061791690757,Mar 07 2016 12:57:19,United States,US,Texas,0,1065,'@daydreamer76 @ZaiaFan @WhiteHouse @POTUS Zika is not made up however if its sprayed on us its also on you this will not be tolerated',en,theame2,56595028,en,,196,119,False,Jul 14 2009 03:39:57,,True,14864,None,None,False,0
ZIKA,706882013089947648,Mar 07 2016 16:39:39,United States,US,Washington,0,2658,"'""Global response to #Zika has been incredibly weak"" on discussion of #globalhealth &amp #Ebola lessons @rajshah #ONEPowerSummit'",en,BSchwarzenbach,487196539,en,Chicago & New Jersey,582,1852,False,Feb 09 2012 03:24:02,Personal Account SwissAmerican Switzerland in the US development & youth advocacy,True,2537,Eastern Time (US & Canada),-18000,False,1
ZIKA,706890865386639360,Mar 07 2016 17:14:50,United States,US,New York,0,69,'American Tests Positive for #Zika Virus After #Philippines trip https//tco/xEhykMALdX via @ABC https//tco/LPh2XFKyMZ',en,DougUNDP,633999734,en,New York,1422,1334,False,Jul 12 2012 19:55:00,Team Leader Health and Innovative Financing @UNDP in New York Addressing the social dimensions of HIV NCDs and #globalhealth Views are my own,True,1617,None,None,False,0
ZIKA,706903965078831104,Mar 07 2016 18:06:53,United States,US,Ohio,0,8089,'Zika Virus is spreading across the globe',en,Schup_,418314139,en,A galaxy far far away,554,204,False,Nov 22 2011 01:10:10,I don't like sand,True,24333,Atlantic Time (Canada),-14400,False,0
ZIKA,706916117168713728,Mar 07 2016 18:55:10,United States,US,Washington,0,168,'@WhiteHouse de + en + frustrée devant l'inaction du Congrès sur virus Zika Guantanamo budget armes à feu etc https//tco/lvia0g1s0W',fr,RichLatendresse,115399345,en,ÜT 389895077771605575,15628,288,True,Feb 18 2010 14:52:04,Correspondant à Washington pour TVA le plus important réseau francophone privé de télévision au Canada,True,3970,Eastern Time (US & Canada),-18000,False,0
ZIKA,706919808613265408,Mar 07 2016 19:09:50,United States,US,Puerto Rico,0,245,'El virus del Zika causa síntomas leves similares a la gripe Conozca sus riesgos https//tco/37fkLW7hMN',es,AonPuertoRico,1905157316,en,Puerto Rico,302,180,False,Sep 25 2013 19:17:39,Líder global en consultoría de recursos humanos y servicios de corretaje en el manejo de riesgos Única firma en Puerto Rico especializada One Stop Shop,True,707,Atlantic Time (Canada),-14400,False,0
ZIKA,706960689378668544,Mar 07 2016 21:52:17,United States,US,California,0,4143,'Inverosímilqué pasa a @luisfortuno51? Lo picó zika o Pellé?https//tco/ViD7V9MiFe @TeamAzote @ricardorossello @Jenniffer2012 @TeamCucusa',und,miriamquin,16328360,en,San Diego California,981,1997,False,Sep 17 2008 13:55:40,Passionate about the principles upon which our Nation was founded,True,5975,Pacific Time (US & Canada),-28800,False,0
ZIKA,706959194050535424,Mar 07 2016 21:46:21,United States,US,Washington,0,884,'Federal agencies cautioned against sending employees to #Zikaaffected areas https//tco/wMbTsnYkpQ #zikavirus @EricYoderWP',en,PowerPost,3086975121,en,Washington DC,3570,3546,False,Mar 11 2015 15:07:30,News about Washington decisionmakers and home to The Daily 202 morning brief http//tco/e7jTt0ywUj,True,8551,Pacific Time (US & Canada),-28800,False,0
ZIKA,706958823852933120,Mar 07 2016 21:44:52,United States,US,California,0,1988,'watch out 4 Zima/Zika/??? https//tco/jdZLtgfP6E',en,fuggenduffy,394470787,en,GoinNorth95662 OV 95662,3319,178,False,Oct 20 2011 03:46:09,Check out my BikeNow motorsports on eBay 4 fantastic deals and stuff gotta lotta moto stuff onityodda see the low prices n stuffXMas gifts Birthday,True,39369,Pacific Time (US & Canada),-28800,False,0
ZIKA,706958393240584193,Mar 07 2016 21:43:10,United States,US,Florida,0,2312,'#gummytummy &gt Zika https//tco/jI2UjWd7Q3',und,TomChirico,15856090,en,Brooklyn NY,949,669,False,Aug 14 2008 21:28:31,brand strategy @Twitter always #thriving all tweets is all me all me for real,True,3850,Eastern Time (US & Canada),-18000,False,0
ZIKA,706964308786343936,Mar 07 2016 22:06:40,United States,US,South Carolina,0,2284,'I wonder if everyone that went on a cruise for spring break realized that the Zika virus is all over the Caribbean 🤔',en,lexations,449881277,en,,497,406,False,Dec 29 2011 16:18:40,CCU'16 ΑΔΠ,True,3837,Central Time (US & Canada),-21600,False,0
ZIKA,706971738169544704,Mar 07 2016 22:36:11,United States,US,New York,0,40,'So these fuckers created this Zika virus now look ALL OF A SUDDEN they selling medicine for it Smh u can't make this shit up',en,ThaBlkPanther,368414039,en,BXNY,264,603,False,Sep 05 2011 16:08:04,All I do is separate the game from the truth Trying to make it from the park bench to Park Ave / Knicks Mets Bills Gators & Redmen ALL DAY #SlideLikeGrease,True,18132,Eastern Time (US & Canada),-18000,False,0
ZIKA,706968786172256259,Mar 07 2016 22:24:28,United States,US,Massachusetts,0,66,'Le virus Zika menace sanitaire ou économique pour le Brésil ? https//tco/Chg0J53dTe',fr,JeanFordGFigaro,480885678,en,Boston Massachusetts,414,1984,False,Feb 02 2012 01:27:30,Medical doctor Healthcare Emergency Management Public Health disasters consultant Cholera Advocate,True,388,Central Time (US & Canada),-21600,False,0
ZIKA,706982679925825537,Mar 07 2016 23:19:40,United States,US,California,0,97,'Jaime Sepulveda What is the headline? #Zika is here! #UCSFZika',en,GHSatUCSF,253706957,en,San Francisco CA,2575,406,False,Feb 17 2011 20:14:21,@UCSF Global Health Sciences is dedicated to improving health and reducing the burden of disease in the world's most vulnerable populations,True,2128,None,None,False,0
ZIKA,706978908697038848,Mar 07 2016 23:04:41,United States,US,Utah,0,21,'Zika virus is creating new worries for pregnant women The latest straight ahead @ https//tco/ao19FWkulK',en,ScottnMaria,349218378,en,KSL Salt Lake City,882,190,True,Aug 05 2011 19:11:27,Scott Seeger and Maria Shilaos are the hosts of Utah's Afternoon News on KSL 1027 FM/1160 AM,True,3255,Mountain Time (US & Canada),-25200,False,0
ZIKA,706978553301065728,Mar 07 2016 23:03:16,United States,US,Oregon,0,8261,'@loveleen1225 I'd rather have Zika than school at this point',en,alxsatrm17,523673253,en,Molalla Oregon,295,211,False,Mar 13 2012 21:04:03,go with it,True,2238,None,None,False,0
ZIKA,706977737576067072,Mar 07 2016 23:00:02,United States,US,California,0,97,'#Economics and the impact of the #Zika virus @UCBerkeley Stef Bertozzi at #UCSFZika Decision making with multiple unknowns',en,GHSatUCSF,253706957,en,San Francisco CA,2575,406,False,Feb 17 2011 20:14:21,@UCSF Global Health Sciences is dedicated to improving health and reducing the burden of disease in the world's most vulnerable populations,True,2128,None,None,False,0
ZIKA,706987023639433217,Mar 07 2016 23:36:56,United States,US,Indiana,0,68,'@MrCarnesAHS #zika',und,AvonCoachFornek,954613052,en,,223,213,False,Nov 18 2012 01:11:53,Coach at Avon HS,True,577,None,None,False,0
ZIKA,706985583948726272,Mar 07 2016 23:31:13,United States,US,Tennessee,0,2510,'Tell Congress the Zika response must include reproductive and pediatric healthcare https//tco/x3l4pTwkX2',en,smithbend,106303318,en,Cookeville TN,1668,1874,False,Jan 19 2010 03:44:08,Marathoner Ironman Seven dozen agegroup state records Author of Falling Forward (2004) and Going Down Slow (2011),True,17157,Central Time (US & Canada),-21600,False,0
ZIKA,706992111476981761,Mar 07 2016 23:57:09,United States,US,New York,0,922,'How a small privately held Indian company is leading the fight against Zika by vaccine development Via @QZIndia https//tco/17DACbruOf',en,DoctorsRoom,628833231,en,New York NY,1123,3668,False,Jul 06 2012 21:51:37,Peddler of futurism purveyor of optimism believer of currency of trust (Disclaimer No endorsements Tweets = personal op),True,458,Eastern Time (US & Canada),-18000,False,0
ZIKA,706991879661817856,Mar 07 2016 23:56:14,United States,US,Colorado,0,305,'Google to the rescue! Volunteer engineers join Zika fight https//tco/9BPXuNZ7TF',en,hdmujica,831553754,en,California USA,517,881,False,Sep 18 2012 17:51:08,Social impact and Hispanic outreach intrapreneur @Google | tech4good advocate | humanitarian wannabe | @FIU Alum | outdoors enthusiast | traveler | views my own,True,830,None,None,False,0
ZIKA,707027780727218177,Mar 08 2016 02:18:53,United States,US,Washington,0,2413,'T2 Symptoms Could it be #Zika #ZikaVirus ? #pubht Most people will not have signs/symptoms of Zika https//tco/vU0fW82Nnq',en,AndyRoszak,437510960,en,Washington DC,1271,1177,False,Dec 15 2011 14:02:40,Senior Director of Emergency Preparedness at @USAChildCare Former Firefighter Paramedic turned lawyer,True,10246,Atlantic Time (Canada),-14400,False,0
ZIKA,707027358474047490,Mar 08 2016 02:17:12,United States,US,Washington,0,2413,'T2 Biggest complication is for pregnant women or women who may become pregnant Avoid travel to areas with #Zika #ZikaVirus #pubht',en,AndyRoszak,437510960,en,Washington DC,1271,1177,False,Dec 15 2011 14:02:40,Senior Director of Emergency Preparedness at @USAChildCare Former Firefighter Paramedic turned lawyer,True,10246,Atlantic Time (Canada),-14400,False,0
ZIKA,707026840179769344,Mar 08 2016 02:15:09,United States,US,Washington,0,2413,'T1 There is no vaccine to prevent or medicine to treat Zika infections #pubht',en,AndyRoszak,437510960,en,Washington DC,1271,1177,False,Dec 15 2011 14:02:40,Senior Director of Emergency Preparedness at @USAChildCare Former Firefighter Paramedic turned lawyer,True,10246,Atlantic Time (Canada),-14400,False,1
ZIKA,707026806063423488,Mar 08 2016 02:15:01,United States,US,New York,0,237,'No mas Zika No mas coco loco (@ John F Kennedy International Airport (JFK) in Queens NY NY) https//tco/UNxY6g3z1p',en,vennifer,20802652,en,DUMBO NYC,403,1081,False,Feb 13 2009 20:20:48,I like my apartment temp to rival a meat locker and my showers & coffee surfaceofthesunhot I will not hold the elevator for you My views are my own,True,6975,Atlantic Time (Canada),-14400,False,0
ZIKA,707025772242808832,Mar 08 2016 02:10:54,United States,US,Washington,0,2413,'T1 Basic facts what you need to know about #Zika #ZikaVirus #pubht https//tco/SxvX1CWf6z',en,AndyRoszak,437510960,en,Washington DC,1271,1177,False,Dec 15 2011 14:02:40,Senior Director of Emergency Preparedness at @USAChildCare Former Firefighter Paramedic turned lawyer,True,10246,Atlantic Time (Canada),-14400,False,2
ZIKA,707025584988299264,Mar 08 2016 02:10:10,United States,US,Georgia,0,20744,'I might have Zika',en,Allison_Shirley,338062010,en,Monroe Georgia,542,528,False,Jul 19 2011 00:56:45,get lost and feel alive people change everything's in constant motion and really I think I like who I'm becoming #GSU20,True,7968,Eastern Time (US & Canada),-18000,False,0
ZIKA,707040066992930818,Mar 08 2016 03:07:42,United States,US,California,0,305,'And the motha fuckin Zika virus 😩 lol',en,jd1lla,360109073,en,,476,446,False,Aug 22 2011 18:06:39,CARSON CA,True,2692,Pacific Time (US & Canada),-28800,False,0
ZIKA,707055043120226304,Mar 08 2016 04:07:13,United States,US,California,0,1310,'Re Zika Everything has been said but not everybody has said it Still a few thousand more takes to wade through',en,BenFischerSBJ,2293242726,en,Manhattan/Queens,2140,704,True,Jan 15 2014 19:34:14,I cover the business of Olympic and action sports for @SBJSBD Esports too,True,5219,Eastern Time (US & Canada),-18000,False,0
ZIKA,707063100835401728,Mar 08 2016 04:39:14,United States,US,Oregon,0,19710,'Now With Zika! #BadSexIn3Words @midnight',en,ChubbahBubbah,164484695,en,corner of Mirth & Whimsy,2112,2211,False,Jul 09 2010 00:28:12,My Mom says I'm good lookingOtherwise I'm the cranky old man reminding you to stay out of my yard I don't follow Conservatives or Libertarianslife2short,True,22441,None,None,False,0
ZIKA,707062294560292864,Mar 08 2016 04:36:02,United States,US,Massachusetts,0,30043,'@RzrRmn @BPSNightmare @kathoderaytube @marty_walsh @turahndorsey does he have the Zika virus?',en,kennycooks,89583894,en,Boston,1882,2216,False,Nov 13 2009 00:35:37,PCS fighter advocate and intolerant of bullshit,True,54883,Eastern Time (US & Canada),-18000,False,1
ZIKA,707094776785412096,Mar 08 2016 06:45:06,United States,US,California,0,486,'Damn u Zika 😭 https//tco/7KwksfYtNd',und,inkarose__,184938152,en,Los Angeles and Bogotá,222,643,False,Aug 30 2010 21:22:40,vocalist | producer | jungle at heart instagram inkarose_,True,510,Pacific Time (US & Canada),-28800,False,0
ZIKA,707094540008579072,Mar 08 2016 06:44:10,United States,US,California,0,147583,'@tohruoikawa @pelicantpark also what if I catch the zika virus in Peru next month',en,myclue,15386145,en,Los Angeles CA,895,477,False,Jul 11 2008 02:11:49,Preferred pronoun fam | DP art by @kurt_art (IG),True,46862,Pacific Time (US & Canada),-28800,False,0
ZIKA,707150161961549824,Mar 08 2016 10:25:11,United States,US,California,0,201,"'ATTENTION Roger Bezanis' ""Aerobics for the Mind"" IS ON! TODAY'S TOPICS? • 1st SIGN OF WEAKNESS is OUR BIGGEST WEAKNESS • MO ZiKA MYTHS?!!!'",en,RogerBezanis,81619592,en,Ventura California,438202,457579,False,Oct 11 2009 15:37:18,Whole Food Raw Foodism founder Diagnostic Face Reading and Health Expert Author Educator while not a doctor I help define the rules of health today Θ∞,True,102488,Pacific Time (US & Canada),-28800,False,1
ZIKA,707166154112913408,Mar 08 2016 11:28:44,United States,US,California,0,201,'I was going to write about ZiKABut I got carried away on the LIVER Tomorrow then In the meantime ZiKA is a FRAUD There it is',en,RogerBezanis,81619592,en,Ventura California,438209,457579,False,Oct 11 2009 15:37:18,Whole Food Raw Foodism founder Diagnostic Face Reading and Health Expert Author Educator while not a doctor I help define the rules of health today Θ∞,True,102516,Pacific Time (US & Canada),-28800,False,1
