Keyword,Id,CreatedAt,Country,Country_Code,Place,RetweetedStatus,UsrFavouriteCount,Text,Lang,UsrName,UsrId,UsrLang,UsrLocation,UsrFollowersCount,UsrFriendsCount,UsrVerified,UsrCreatedAt,UsrDescription,UsrGeoEnabled,UsrStatuesCount,UsrTimeZone,UsrUtcOffset,Retweeted,Retweet_Cont
ZIKA,706427933292961792,Mar 06 2016 10:35:18,Polska,PL,Warsaw-Poland,0,84,'Important message #zikavirus #zika #breastfeeding https//tco/Ju1M2smal6',fr,sasa_foundation,3166996053,pl,Warsaw Poland,54,95,False,Apr 14 2015 20:15:59,We are ‘SASA’ Foundation Our goal is to obtain financial support for hospitals that struggle with a lack of basic medical supplies,True,73,None,None,False,0
ZIKA,706427610826416128,Mar 06 2016 10:34:01,Brasil,BR,Rio de Janeiro-Brazil,0,57,'Ai a médica diz que uma puta infecção de garganta é provavelmente zika Ta certinho',pt,laly_af,55127977,pt,,158,67,False,Jul 09 2009 03:26:53,Mineira carioca de coração Vasco UFRJ,True,5193,Brasilia,-10800,False,0
ZIKA,706433769562054656,Mar 06 2016 10:58:30,Brasil,BR,Teresina-Brazil,0,44,'Zika sobrevive em outros mosquitos que se reproduzem em água suja (Compartilhado via CM Browser)',pt,ricardoridag1,2780789980,pt,TeresinaPiauí,424,813,False,Sep 23 2014 01:27:46,Amando a Deus procuro ser o mais feliz possível,True,9806,None,None,False,0
ZIKA,706430238499143680,Mar 06 2016 10:44:28,Italia,IT,Matera-Basilicata,0,1449,"'""Zika virus Comics"" to Great Learning Be Informed by Facts!"" by @CimazaComics on @LinkedIn https//tco/0lEX8k5Djt https//tco/vUbMZ9iHVI'",en,CimazaComics,3288425003,en,Matera Basilicata,1642,4921,False,May 18 2015 13:56:27,PhD in Virology Cimaza Owner (a small co with an academic orientation that focuses on providing teaching methods by combining tools that are borrowed from Art,True,2494,None,None,False,0
ZIKA,706429509608800256,Mar 06 2016 10:41:34,Brasil,BR,Uberlândia-Brasil,0,15,'@laurojardim 5) e ai nunca chega respostas eficientes e exatas p/o cidadão q vai produzir e vender repelente p/conter a dengue e zika!',pt,mgo22_raquel,933403879,pt,Minas Gerais Brasil,127,361,False,Nov 08 2012 01:45:34,Economia Energia Meio Ambiente Comportamento Artes,True,10798,Amsterdam,3600,False,0
ZIKA,706443157781803008,Mar 06 2016 11:35:48,España,ES,Madrid-Spain,0,687,'@Ranzher talento made in Spain liderando proyecto TIC conjunto UNICEF y Google para combatir difusión virus Zika https//tco/lsuawJiu3M',es,pablohaya,59249748,es,Spain,488,662,False,Jul 22 2009 21:08:55,“We are social animals“ Aristotle Social Business Analytics Director at @IIConocimiento,True,1855,Madrid,3600,False,0
ZIKA,706449036304187393,Mar 06 2016 11:59:10,Brasil,BR,Nova Friburgo-Brasil,0,42421,'Ontem meu baby foi para o pronto socorro em SP e lá tinha caso de H1N1 já não basta Zika vírus dengue e ainda tem a gripe suína 🙄🙄😡',pt,Hanna_Demetria,494366716,pt,Rio de Janeiro Brasil,5477,5315,False,Feb 16 2012 20:38:42,LOVE @U2 @nickjonas @ddlovato @Joejonas @MileyCyrus @selenaGomez @taylorswift13 @GigiHadid @BellaHadid @DNCE @littlemix @HaileeSteinfeld @JustinBieber❤️,True,565604,Mid-Atlantic,-7200,False,0
ZIKA,706453298581217280,Mar 06 2016 12:16:06,United States,US,Washington-DC,0,3973,'Nueva app alerta de la presencia del mosquito del #Zika y dengue https//tco/NKIjgWKAV4 v @materia_ciencia #DemandSolutions #salud',es,BID_Idear,344726222,es,Washington DC,92915,985,False,Jul 29 2011 14:03:52,Un ecosistema para inspirar innovación creatividad y emprendimiento #DemandSolutions,True,18035,Eastern Time (US & Canada),-18000,False,0
ZIKA,706458687624208384,Mar 06 2016 12:37:31,Dominican Republic,DO,Santo Domingo Este-Dominican Republic,0,356,'El virus del Zika protagoniza las búsquedas en Google Colombia https//tco/nJwRWRupw3',es,neftalyjimenez,47981325,es,Republica Dominicana,1082,707,False,Jun 17 2009 14:42:22,Lic Agm VICEPRESIDENTE DE ASP/MOPC Los servidores públicos deben ser representados dignamente y que el estado cumpla con las leyes laborales,True,4707,Central America,-21600,False,0
ZIKA,706456826955616256,Mar 06 2016 12:30:07,Brasil,BR,Caçapava-Brasil,0,230,'Nunca ri tanto como aqueles zika embrasando na van',pt,sabellyveiraaa,3827664917,pt,Caçapava sp,101,142,False,Sep 30 2015 21:37:40,Não pare de sonhar,True,567,None,None,False,0
ZIKA,706455284735156225,Mar 06 2016 12:23:59,Brasil,BR,Ponta Grossa-Brasil,0,1011,'O zika vírus ta no meu quarto 🙄 ahhh',pt,badgirlup_,4727202743,pt,Ponta Grossa Brasil,347,1132,False,Jan 06 2016 18:46:37,snap mih_pg,True,1136,Pacific Time (US & Canada),-28800,False,0
ZIKA,706463500948865024,Mar 06 2016 12:56:38,Venezuela,VE,Venezuela,0,988,'AHORA con ZIKA valgame Dios!',es,Alexisv26,144586426,es,Caracas Venezuela,3185,2912,False,May 16 2010 18:51:51,Deportista 100% Adicto al Running Cinturón Negro creyente en la justicia divina hay que tener Conciencia Ciudadana para una mejor Venezuela #LUchandoXMiPais,True,128167,Caracas,-16200,False,0
ZIKA,706477822651580416,Mar 06 2016 13:53:33,Portugal,PT,Coimbra-Portugal,0,0,'@MarinhaPT @LouReed @Miguel_Miraldo @DNPSP Sou um salão que o veia boi ombros naquela merda Bazofias pavilhão Zika Padilha Hebola sem culpa?',pt,Sun_aware_crime,100843811,en,Galactic Universe Sun,102,2,False,Dec 31 2009 21:02:20,Renew system perform natural freedom placing body law heart Corp freedom A @MarinhaPT prototype cosmic plate using @NASA operative command @iaeaorg new media,True,72354,Lisbon,0,False,0
ZIKA,706477217321242624,Mar 06 2016 13:51:08,Chile,CL,Las Condes-Chile,0,90,'Último momento!!! El mosquito zika llama a Intratables y aprieta a bossio diciéndole cucaracha no me conoces ? Te acordas cdo eras y sos bas',es,OstoreroJose,3990995895,es,Santiago Metropolitana de Santiago,319,937,False,Oct 19 2015 01:29:20,Jefe de Reclutamiento Especialidades Medicas Santiago de Chile,True,2017,Pacific Time (US & Canada),-28800,False,0
ZIKA,706476275083313153,Mar 06 2016 13:47:24,Republika ng Pilipinas,PH,Danao City-Central Visayas,0,3255,'Zika virus on Ph 😰😱😱 mayta hoax ra oy',fi,MayolShara,147185031,en,Cebu City PH,323,55,False,May 23 2010 12:45:07,a little bit of hood and a lot of God in me,True,15254,Alaska,-32400,False,0
ZIKA,706476253977694208,Mar 06 2016 13:47:19,Venezuela,VE,Venezuela,0,40,'Municipio Girardot en la calle contra el ZIKA 200 casas fumigadas @VoluntadPopular @RedesVP @apichardob https//tco/y33sR7lQ81',es,iglesiasdorta19,262478349,es,Maracay Aragua,230,452,False,Mar 08 2011 03:37:31,trabajando#PorUnaMejorVenezuela Fuerza y Fe,True,445,Hawaii,-36000,False,0
ZIKA,706476066978852864,Mar 06 2016 13:46:34,Guadeloupe,GP,Guadeloupe,0,276,'Le zika me tue 😷',fr,x__Lilyah,706473918,fr,Guadeloupe #115 ♥,479,219,False,Jul 20 2012 05:02:04,Hello Bitch You Made or Nah ? ☝ Snap lilyah_grn,True,16443,None,None,False,0
ZIKA,706475948233904128,Mar 06 2016 13:46:06,Brasil,BR,Itapetininga-Brasil,0,7502,'Sma tava muito zika ontem',pt,eriickcoosta,275659876,pt,,899,292,False,Apr 01 2011 18:42:38,BitchDon't kill my vibe 996016434,True,57086,London,0,False,0
ZIKA,706475089156567041,Mar 06 2016 13:42:41,United Kingdom,GB,Glasgow-Scotland,0,4465,'@jacqpostma @b12unme Yes can't quite buy into the whole Zika thing I smell rats all over the shop',en,lorrainecleaver,48097106,en,Glasgow Scotland,1339,1012,False,Jun 17 2009 20:11:52,Thyroid patient losing patience Petitioned Scottish Parliament PE01463 Facebook Thyroid Petition Scotland,True,15622,Casablanca,0,False,0
ZIKA,706484191618269188,Mar 06 2016 14:18:51,Peru,PE,Santiago de Surco-Peru,0,892,'Quiero llorar pero de felicidad 👽👽 mi hermoso zika reptiliano ❤',es,waikikiloco,48870288,es,Hawaiian Beaches HI,103,625,False,Jun 19 2009 23:54:59,No me delimito✌,True,4103,Lima,-18000,False,0
ZIKA,706484098483757057,Mar 06 2016 14:18:29,United States,US,Baltimore-MD,0,85,'American woman visited Philippines in January has tested positive for the Zika virus in the U https//tco/DvHCZFVq5f via @NewsRepublic',en,TheDon2108,257654105,en,BaltimoreMaryland,1673,2139,False,Feb 25 2011 22:11:52,Crazy fun loving dudeOne of knowledge of Godsoulcreationand the HereafterOnce wanted to died as a Thugbut then I finally grew up,True,71566,Eastern Time (US & Canada),-18000,False,0
ZIKA,706483489475055616,Mar 06 2016 14:16:04,Brasil,BR,Canguçu-Brasil,0,1782,'Primeira viagem do celta voltou de guincho e batido que zika 😔😑',pt,yuri_hernandes,205475829,pt,,609,306,False,Oct 20 2010 23:46:57,Snap yurihernandes,True,18469,Brasilia,-10800,False,0
ZIKA,706482631173603328,Mar 06 2016 14:12:39,Brasil,BR,Videira-Brasil,0,2242,'@_silvioeduardo tenho um escrito ZIKA pode ser?',pt,nataliarigo_,2562256299,pt,eu nao escolhi ser loca,588,313,False,May 24 2014 17:37:52,se inscreva no canal que vcs fizeram eu fazer snap rigonatalia,True,12065,Brasilia,-10800,False,0
ZIKA,706481063141376001,Mar 06 2016 14:06:25,México,MX,Tuxtla Gutiérrez-Chiapas,0,1772,'¡Al mosquito ni agua! Elimina los criaderos sin mosquito no hay dengue chikungunya ni #Zika https//tco/Rfvkh7jb0m @CDI_mx @fjavierpm73',es,SSaludChiapas,1004461129,es,Tuxtla Gutiérrez Chiapas,2971,915,False,Dec 11 2012 17:11:57,Twitter oficial de la Secretaría de Salud del Gobierno de Chiapas,True,13998,Central Time (US & Canada),-21600,False,0
ZIKA,706489283331358720,Mar 06 2016 14:39:05,Colombia,CO,Bogotá-D.C.-Colombia,0,44,'En minutos programa sobre lo que devela la epidemia de Zika en un país con crisis en su sistema de salud Escúchenos https//tco/uX9tHD8nIi',es,Monitor_Salud,1639150058,es,,1052,91,False,Aug 01 2013 23:53:41,En vivo los domingos a las 1000am Dial 930AM Todelar Voz de Bogota Streaming http//tco/6u3tPtnd1F,True,1279,None,None,False,0
ZIKA,706488799270821888,Mar 06 2016 14:37:10,Portugal,PT,Lisbon-Portugal,0,5,'# Zika Primeiro caso detetado nas Filipinas desde 2012 https//tco/lciwQm0MO1 Em https//tco/MDmhqgtnSp',pt,TSFRadio,15392221,pt,Lisboa Portugal,195428,39,True,Jul 11 2008 15:00:21,Lisboa 895 FM | Porto 1053 FM,True,134616,Lisbon,0,False,0
ZIKA,706488114836054018,Mar 06 2016 14:34:27,United Kingdom,GB,East-England,0,8242,'@m_m_campbell @GaviSeth If our #Zika explainer is of interest please share? https//tco/gwLdY8UsVe thanks! #scicomm',en,BioDetectives,2908551890,en,Cambridge England,1037,827,False,Nov 24 2014 00:18:55,We're life science graduates tracking #science from Down Under to Up North Hosts on the @bluestreaksci show If you're interested in #scicomm get in touch!,True,8347,None,None,False,0
ZIKA,706488056006746113,Mar 06 2016 14:34:13,Portugal,PT,Coimbra-Portugal,0,0,'@DNPSP Pedi e puxo que o veia tão boi tal Gira só um que sou cabrão lei a escuta PIDE broche e o gato até viola a corda samba Zika ar Toni!',pt,Sun_aware_crime,100843811,en,Galactic Universe Sun,102,2,False,Dec 31 2009 21:02:20,Renew system perform natural freedom placing body law heart Corp freedom A @MarinhaPT prototype cosmic plate using @NASA operative command @iaeaorg new media,True,72363,Lisbon,0,False,0
ZIKA,706487590040559619,Mar 06 2016 14:32:22,Republika ng Pilipinas,PH,Davao City-Davao Region,0,3305,'@paulineolivaa belated miss virulence 2016 /// ms zika virus!!! 😘',et,joshellefaith,325562664,en,facebookcom/jheibee,1379,969,False,Jun 28 2011 14:13:24,Alien of this world Citizen of God's Kingdom,True,27115,Pacific Time (US & Canada),-28800,False,0
ZIKA,706487371668332544,Mar 06 2016 14:31:29,United Kingdom,GB,East-England,0,8242,'@AlvaroUribeVel If our #Zika explainer is of interest please share? https//tco/gwLdY8UsVe thanks! #scicomm',en,BioDetectives,2908551890,en,Cambridge England,1037,827,False,Nov 24 2014 00:18:55,We're life science graduates tracking #science from Down Under to Up North Hosts on the @bluestreaksci show If you're interested in #scicomm get in touch!,True,8347,None,None,False,0
ZIKA,706487304790130689,Mar 06 2016 14:31:14,United Kingdom,GB,East-England,0,8242,'@SocialInChicago If our #Zika explainer is of interest please share? https//tco/gwLdY8UsVe thanks! #scicomm',en,BioDetectives,2908551890,en,Cambridge England,1037,827,False,Nov 24 2014 00:18:55,We're life science graduates tracking #science from Down Under to Up North Hosts on the @bluestreaksci show If you're interested in #scicomm get in touch!,True,8347,None,None,False,0
ZIKA,706487002531811328,Mar 06 2016 14:30:01,Brasil,BR,Sao Paulo-Brazil,0,8358,'A noite de ontem rendeu muitas coisas tipo Corte na boca e no pé Alergia Dor no corpo todo Zika vírus',pt,_biboca,355611764,pt,São Paulo Brasil,784,525,False,Aug 15 2011 16:37:44,Snap bianovoletto,True,99980,Santiago,-10800,False,0
ZIKA,706486502352691201,Mar 06 2016 14:28:02,Brasil,BR,Rio de Janeiro-Brazil,0,2709,'minha perna ta cheia de bolhinhas e coçando a beça será q é zika',pt,dianabferreira,167902690,en,,192,169,False,Jul 17 2010 20:57:24,destruidora de egos alheios,True,7055,Newfoundland,-12600,False,0
